"Coin","Mean","Median","SD","Skewness","Kurtosis"
"HOMER",-0.00212538982278181,0,0.0083711470913464,-3.65896083660654,14.4154784382171
"HONK",-0.00419730444303304,0,0.225137836349747,-0.0550024073793933,8.05085304781723
"ICN",-0.0791374250735691,-0.0076943814157932,0.286842788223287,-4.97418249429434,28.8232983225259
"ICX",-0.0013806178921748,0.000570205451068217,0.0636066844379976,-0.514396509441759,10.1158067089316
"IMARO",-0.000945563796305972,-0.00568726242270103,0.0945973023104777,0.37536176221732,4.72199124521114
"INK",-0.00231422605496239,-0.00371040066204333,0.148532086473982,0.315427816775603,26.0416074065861
"ISSP",-0.00755125501340893,-0.014611260842311,0.110782437439667,2.34183848347469,19.3331164565559
"ITC",-0.00582449370534147,-0.00455785477634756,0.108615346466276,-1.66841568401483,73.7315620898301
"IXO",-0.007355466675012,-0.00354997207138446,0.0771666056695037,1.53707815452129,24.4873921144715
"JADE",-0.000938358698481549,0,0.181495821442343,1.33974639770383,19.4112789920868
"KCS",0.000407981574973815,-0.000340324474541624,0.0576825220945393,1.28502636259244,22.1262189573836
"KIN",-0.00133499499264134,0,0.100173351216305,0.524095881491431,12.0614124363582
"KMD",-0.00134811023282198,-0.000232727183651983,0.0629866482986871,-0.140855212391587,14.2736251571904
"KNC",-0.000793149617624496,0.00196097119121296,0.054398092913001,-0.378934710199183,8.31001461740632
"KRIPTO",-0.00430183433651496,-0.00851069230297948,0.101924331143117,2.19364938682789,39.2049054358109
"LARRY",-0.00766758477247961,0,0.274248670641274,0.121010428174716,8.54448218656846
"LEND",-0.00213559633245959,-0.00257960745180019,0.0529645491397901,0.207145484642273,7.58297897424105
"LINK",0.0012932873011521,0.000678088845486065,0.0628127890036399,-0.125026121012,11.605075729613
"LNDRY",-0.0265357493745403,-0.0102698624814897,0.202902203107109,-4.42950440968141,35.9202241032495
"LRC",-0.000334466398379994,0.00013575003175783,0.0709536315108488,0.561293311357561,11.0525635829267
"LSK",-0.00122994170922672,-0.000421831879834684,0.0582369632046292,-0.255384783511695,11.8472909851032
"LTC",-0.000312391309455393,0.000372110913446223,0.0490078581612566,-0.523513484013352,11.270458131691
"MAGE",-0.00499511340149707,-0.00209013842119309,0.300505409367762,-0.196214254323805,39.5000294184876
"MAID",-0.000448996113053577,0.000209412241543918,0.0875747455508008,-0.510073774219126,16.5974440764931
"MANA",0.00060161287785073,0.00074323725412466,0.0694280547353896,1.20607804824535,23.4207414393532
"MCO",-0.000129429026903419,-0.00110945619358777,0.108294829030276,3.90377294578511,68.4905162628664
"MED",-0.000537569431397215,-0.000777514851398837,0.0728314989253332,1.17894578856224,22.7123493456653
"MILKBAG",-0.00726724982406245,-0.0176252224399598,0.111785528659094,0.51868732680849,5.19806046458627
"MONA",-0.00141251169637644,-0.00289173433426067,0.0561621966338485,2.20003292109896,33.9445698421296
"MONKEYS",-0.012045252242711,0,0.263352546297477,1.59680767242011,17.8333615765679
"NANO",-0.0137017795165842,0.0000354330810109612,0.313832125441796,-7.23697595965716,67.1810777703306
"NAS",-0.00298422690721532,-0.0010073493122175,0.0673237274080791,-0.245681631565569,11.2865335432339
"NAV",-0.00179099178701819,-0.00206788301404945,0.0740348450453088,0.302400325710465,15.9538222828919
"NEBL",-0.00280751549545447,-0.0011389230954603,0.0883229830240464,-0.0715163716899842,29.4842681302509
"NEO",-0.0011136415450061,-0.693147180559942,2.63788676057817,0.00110426347718477,1.38075717527968
"NULS",-0.000669415777694512,0.000206992887376021,0.0677710574537618,0.532178695676021,16.5364411639774
"NXS",-0.00158064772579502,-0.00354603757683515,0.0788380291620141,1.44082066004457,39.0383212453542
"NXT",-0.00251156492188704,-0.000585898031219315,0.13726164114487,0.0152673295695109,326.621599647139
"OMG",-0.00160104917507629,-0.0006629588463135,0.0645336115000075,0.0603252399545711,11.9858955898774
"OMNIA",0.00303507232190464,0,0.331290786345038,20.4608417331977,563.934354422
"PAC",-0.000364459398703165,0,0.257003224408181,-0.723875037955809,171.087413864625
"PART",-0.00194218303206834,-0.00338337382123925,0.103957282817797,0.328564504606985,18.0773596293586
"PAY",-0.00242441613408757,-0.00270655575321323,0.116654981416065,0.62360460633185,77.2148794338253
"PEANUT",-0.0253098688298993,0,0.270277255863848,0.0326258649319027,6.41881611898851
"PEEZY",0.0003024709794074,-0.022653574678651,0.15649708761249,1.1188604543434,5.60053112410466
"PHX",0.000981805880526132,0.000625620404467183,0.11367657944409,7.36585638710682,110.474738306172
"PINO",0.0462452357483864,-0.00445909546651377,0.188841570137256,0.80367939727646,3.30935132703825
"PIVX",-0.0013871421821458,-0.00155878573241315,0.0685599196501323,0.26088593385346,16.1484064399025
"PLR",-0.00169038109417231,-0.000571423875892588,0.0869288446963418,-1.54267192293039,44.4773029392142
"POE",-0.00395291107664617,0,0.133683467025657,-1.2853411355411,24.3740542031779
"POWR",-0.000528258666136675,0.0019100135534671,0.0674047150465452,-0.29518889136057,19.4613387385056
"PPT",-0.00243429964116123,-0.00468558735037886,0.115874058634694,0.262049587199936,11.7934826263447
"PRICK",-0.0169642602165808,-0.0210534156481491,0.34437124011268,0.820322347152385,44.515283215207
"PSSYMONSTR",-0.00295044945531821,-0.00948621713858681,0.0994002442732773,0.769417260771676,8.35935181128649
"QASH",-0.00155594297191986,-0.00223207213882071,0.0816344471837545,-0.598129702056413,42.6657904932723
"QSP",-0.00192306053521713,-0.00166154736001334,0.0750491516442754,-0.0222147687845713,8.34685564052477
"QTUM",-0.00117699397627571,0.000926074376085915,0.0614772466351862,-0.325476971592035,13.9241746158788
"R",-0.0247267274105361,0,0.532034538394621,-0.538809087961785,17.1816075532887
"RCN",-0.00232046254958988,-0.00126815234909578,0.0695600668097501,-0.183498715993541,14.7609773792545
"RDD",-0.00194646171751013,-0.00438449717067967,0.485059627335271,1.94536212394866,160.805619857484
"RDN",-0.00278409120701386,-0.00357422010299718,0.0863447759829296,1.14318822946104,22.700593816817
"REP",-0.00190490346535504,-0.00110718208465699,0.0683800004267842,0.314556166563487,19.0717864777341
"REQ",-0.000709350181102395,-0.000655661376222185,0.0734268102933111,2.19977063496319,39.7115553032067
"RLC",0.0000487197125433279,0.00065923906292647,0.0729924997231628,0.260044999182088,15.7691193691803
"S",-0.00208352296840372,0,0.329778965771826,-0.228545040282113,14.6808330836888
"SALT",-0.00297801218657661,-0.00373297846473335,0.0945261952543035,0.33286633022397,21.0243909011099
"SAN",-0.00151095976392247,0,0.0685972063016697,-0.936051634089823,16.1055645588619
"SC",-0.000688340985450664,0,0.0639528504713822,-0.404950191809229,15.0774387129328
"SHOG",-0.0223558459859732,-0.026763590885436,0.158782411237279,1.04787919176472,10.9655220011614
"SKY",-0.00207145765876152,-0.693147180559944,2.63881845587899,0.00616281078932861,1.38992901562994
"SMART",-0.00377858949081363,-0.00366896207148147,0.191726045697677,-0.156931076222259,117.774247154638
"SNM",-0.0040240638584794,-0.00412414021893963,0.398808680775214,-0.245103234734109,15.1018202579784
"SNT",-0.000723546156322133,0.000286296961999996,0.0626300064007842,1.44627281029771,24.2933762051632
"SPIKE",0.00027919019113587,-0.000464228486472815,0.82228763438281,0.305929201912349,7.99641075037827
"STEEM",-0.00103982737153327,0.000450647068084862,0.0632240650739428,0.164775760945919,17.892873052806
"STON",-0.00542786229295052,-0.00112068827926389,0.138884076198099,3.5806789183534,57.7644749583182
"STORJ",-0.000611804237450713,0.000841025657293498,0.0720714137407981,1.36213107514721,24.51191241988
"STORM",-0.0178415342005545,-0.00399198522518004,0.10655957394447,-0.992538995634845,22.3420081154636
"SUB",-0.00302069657951027,0,0.206616567524463,-0.324619602868285,25.5066960954835
"SYS",-0.000747601032782832,0.00024028291396034,0.071539847976975,0.607342995199105,14.6839809636471
"TERMINUS",-0.023963094398194,0,0.213687233908374,0.0183900708253621,6.33378714856984
"THALES",-0.00287061633219243,-0.00326930650971494,0.0453493905079526,-0.468331869425716,11.1545413668486
"TNB",-0.00374756615612019,0,0.0962477666536153,-2.31351289630802,54.7693126033952
"TRX",0.000623157962168558,0.00150100802917224,0.0559293371027267,1.41445358965895,33.9936539397926
"UBQ",-0.00329405409113523,-0.00367957731017722,0.0995213032713219,-1.85737258592258,81.7403970911472
"USDT",-0.00000359056403810007,-0.00000897039524859012,0.00332831969479132,0.389145029036015,63.371510477427
"UTK",-0.00064545301347515,-0.00123998448713333,0.0727799063874269,0.663380175357821,11.7197401341178
"VEE",-0.000774830234996795,-0.000479666354851927,0.152922584256709,3.59842828914437,347.484274437246
"VEN",-0.00346214136391977,-0.0000594325565962497,0.145184013172165,4.41372551147125,173.431487130425
"VENTION",-0.00424420763223917,0,0.116683757539726,1.35622630676182,182.491496613049
"VERI",-0.000967439932296195,-0.00234203094056246,0.12254537700011,0.419545400732779,12.1091346083449
"VGX",-0.00220232943842286,-0.00529200530318921,0.0864982034644537,1.09390275698623,16.3080806880927
"VIZION",-0.0111143569930637,-0.0183829042373714,0.118090839172179,1.52302044735005,12.9390430418396
"VTC",-0.00191983885264616,-0.00274767710756218,0.0716317246830124,0.906511260685385,18.8769260931916
"WABI",-0.0037355547638637,-0.00131780656498263,0.148004255722394,0.468064795351307,81.3205221673581
"WAP",-0.0312200381418729,-0.00917213988266266,0.071662533014653,-1.16249698411545,5.11261416899664
"WAVES",-0.000827841035502039,0.000140057168112768,0.0639157299251003,0.399239851546888,13.2429128074792
"WAXP",-0.00117950318097185,-0.000434491858826914,0.0705169084602031,0.872608978769107,24.7080209438749
"WINGS",-0.00237012671944429,-0.00180437347104292,0.130351819130557,0.904031219536731,56.0903203577161
"WTC",-0.00227457342507543,0,0.229257379893895,0.0194778852877979,38.9789965815919
"XBY",-0.00209077815743495,0.00275566416852635,0.18321405870081,3.16390012797681,80.0823600416219
"XDN",-0.00269765282384713,0,0.136131105062463,0.0180857807681222,7.86867058729084
