"Currency","Frequency","Mean","SD","t_Stat","Sharpe","Skewness","Kurtosis","Positive","N"
"BTM","Daily",-0.176800137702167,6.19512385631822,-1.44282291177503,-0.0285385961286075,-0.525513881613932,17.5957713916519,49.5696400625978,2556
"BTM","Monthly",-5.37977561865166,32.6467247489572,-1.51030335716213,-0.164787606108129,0.0113207895701989,3.62516582723608,47.6190476190476,84
"BTM","Weekly",-1.12628593292718,18.4230520188618,-0.881695753308445,-0.0611346009213932,-0.171384598528301,5.28745294023897,46.6346153846154,208
"BTS","Daily",-0.236185322016398,6.30188311927054,-1.8947982942912,-0.0374785310273632,0.590664905264899,22.3561495420144,48.1611893583725,2556
"BTS","Monthly",-7.1867819413561,33.4130037099144,-1.9713266448795,-0.215089370705801,0.430962789386164,3.90607765273285,38.0952380952381,84
"BTS","Weekly",-0.781505980264073,19.8230355337099,-0.503333629861195,-0.0394241325419152,-0.202194727768337,4.07082177768751,50.3067484662577,163
"BTX","Daily",-0.212991375266224,11.4287805648163,-0.942198803210742,-0.0186364043003785,0.566707610761066,11.5983895878318,45.18779342723,2556
"BTX","Monthly",-6.48102327595799,38.1353221799296,-1.55759951903482,-0.169948040438188,0.184485964593322,3.82627348572591,40.4761904761905,84
"BTX","Weekly",-4.97093919255576,28.8627164872787,-1.20558902912784,-0.17222700416112,2.41331228170267,13.5395687594,30.6122448979592,49
"BULEI","Daily",-2.32090414919177,21.1457979261373,-1.09207062284467,-0.109757227289258,1.02824073026343,12.7911138954503,6.06060606060606,99
"BULEI","Monthly",-32.8242158242836,66.431414665364,-1.30728379772175,-0.494106831679403,-1.93906528925523,4.92127970569692,0,7
"CHEEPEPE","Daily",-1.35664898761606,13.1270820530362,-1.56051058443867,-0.103347338131575,1.42980444334362,13.0835116961026,39.9122807017544,228
"CHEEPEPE","Monthly",-38.6644961470577,39.6933337512223,-2.75511526324279,-0.974080342794767,-0.388367241420579,1.79015231019089,12.5,8
"CHEYENNE","Daily",-7.7176838583412,20.9659576845021,-2.46932660970602,-0.368105477196784,-0.670635571910176,4.76734581344977,33.3333333333333,45
"CHEYENNE","Monthly",-173.647886812677,33.333788519144,-7.36715529550082,-5.20936546750301,NA,NA,0,2
"CMT","Daily",-0.110983697597049,8.83663823566306,-0.634969023328006,-0.012559493173449,0.182450530546805,24.4237641971918,44.0140845070423,2556
"CMT","Monthly",-3.37707536973871,34.75605295917,-0.890532853519291,-0.0971651002404089,-0.0899457396583863,3.82473482060802,47.6190476190476,84
"CND","Daily",-0.218584832758515,10.6534568603095,-1.03731318188176,-0.0205177376343329,1.85449762190049,31.4580938098835,45.8528951486698,2556
"CND","Monthly",-6.6512241967948,41.1946321797187,-1.47979174631107,-0.161458516434318,0.0406571754210987,4.05326475667675,42.8571428571429,84
"CND","Weekly",0.623152314611719,30.2022544786846,0.0875368878872972,0.0206326423430248,0.744218952769389,2.94550926115317,44.4444444444444,18
"CNX","Daily",0.371687848362138,23.4062161691261,0.638560662736571,0.0158798776220999,8.44649998921897,194.077257410552,50.5875077303649,1617
"CNX","Monthly",11.1299861259552,84.2195799419943,0.971132373432282,0.132154377089281,5.0729644495677,33.5564617459955,57.4074074074074,54
