"week","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB"
2023-10-01,183281046963200,4215396271208.62,167799109.3268,5999268.15351101,333.330624572036
2023-10-08,144734014448246,3778052796129.49,173935032.458042,6738203.73834871,537.825603376934
2023-10-15,345292792041203,6862922993904.07,342193965.904202,9146898.2932698,633.152136684454
2023-10-22,346361351745891,7508188641270.38,309123586.761318,17042042.656985,902.235189722075
2023-10-29,335431192809934,9000699166816.41,499955198.655373,14089262.4491291,767.054086063375
2023-11-05,517120325901541,20995878352862,1163073523.10231,105475953.588284,5004.26664900519
2023-11-12,434858498461168,15833259749904.3,511415399.513316,107759881.768557,1480.37038036196
2023-11-19,343934607427912,11177922369070.5,376875552.078775,23043730.7298156,902.9381097203
2023-11-26,613226747604574,19773148794274.3,414693659.684463,39898339.536409,1053.77706127299
2023-12-03,759442086558862,24847625757756,1468828815.87955,110612597.605727,4705.49387112922
2023-12-10,607697143826474,15291314344664.6,477601035.953553,48390693.354891,7389.63154537758
2023-12-17,590824847961774,18462610627675.8,480338843.294371,33424587.0125171,2828.83799009438
2023-12-24,675097512203409,15788194611158.2,446835349.827872,22753664.5289508,916.454596848409
2023-12-31,707896278120936,13384162360729.4,466483836.707941,33449578.7889856,1150.14699094484
2024-01-07,882632792862609,31564140718632.1,412940342.588495,24094118.8506231,1303.40928707311
2024-01-14,482766265591862,13083453800914.9,401507978.064964,60138875.9066429,1416.49904421622
2024-01-21,481134938952217,11666838349442.6,250246486.032357,17016363.3191828,597.64122313908
2024-01-28,480190983497421,10671421380990.7,447185299.438591,12026352.6268857,532.898127849062
2024-02-04,783385965352312,16194062772637.7,303156385.954601,17344058.4313609,878.659195078926
2024-02-11,1033729590482466,49971671973039.5,501075218.818711,29070191.2001538,1431.53575383636
2024-02-18,782543911415194,32023583720844.9,385144114.09771,28093948.6225336,1224.96840905469
2024-02-25,1481798383420887,41147892459900.8,1906201136.94941,510071497.635053,146754.375795446
2024-03-03,1480236908930217,46697728701826.6,976917084.913828,618054804.850795,92916.8629167165
2024-03-10,3059503675921986,71161266638511.9,1349279506.59323,341739020.901442,48030.6611366434
2024-03-17,1584832588888572,44183636632260.4,716689673.965128,471167771.218436,27310.3896970417
2024-03-24,1193040915312109,32936323641163.8,648542161.161485,479398588.868965,21363.2750703183
2024-03-31,1375702755073437,30043179103021,517161076.868367,301272532.725726,9713.02499837486
2024-04-07,3374224549917074,89937895213618.3,1902813519.98116,727688451.473669,31079.5928152773
2024-04-14,1501208167636487,31319374149632.6,654892702.224146,268584737.288418,20698.3100227321
2024-04-21,1238625476066706,38443183104915.4,390379084.1688,125210992.770769,11489.610484748
2024-04-28,1317472705784673,25823601367870.4,364064668.07324,447053689.387184,18344.06416159
2024-05-05,841523141534562,19787004284404.4,226673114.019109,76252351.1953353,4497.2674471255
2024-05-12,1118733297718365,29377741273891.8,259053009.865756,118062419.129174,8374.91206343192
2024-05-19,1071756941028495,37492469816460.4,353627646.729167,259127770.372367,9947.35632370864
2024-05-26,788210015266553,33026209875928.6,290110733.865563,79464903.5059887,6817.72137776987
2024-06-02,988451822005982,33482258685469.6,406932237.444782,127491587.979695,10276.1796580261
2024-06-09,934700689741016,45402463998189,378051971.556829,65024032.9109846,5066.73174177817
2024-06-16,633414688119013,25944459642406.9,221728358.843719,40682276.848196,2627.30759693011
2024-06-23,770402123336429,22210291214162,190078650.595187,34731820.3763218,1908.42373946922
2024-06-30,1201654630851767,35562714185004.2,324916846.182916,95745644.7053161,7615.30037955429
2024-07-07,1011685420265095,27213043737961.5,1503752362.41757,55891319.3340102,4111.21064410087
2024-07-14,1278096104987842,36460598413481,914786509.056467,149152728.529606,7756.43848635185
2024-07-21,2352573841440997,49357902643261.2,601565949.305777,156998839.948821,4641.89749440786
2024-07-28,1926776872987138,51808280643055.5,737622234.518883,87426452.8092279,3402.53757666995
2024-08-04,959641932213311,24432461939553,664078514.410037,39058111.1956395,1897.24971602309
2024-08-11,808300444292136,17456201874755.1,272796649.185249,31396311.5104945,1198.26627649566
2024-08-18,1375393357749730,32584116039074.7,684616435.413559,75823119.6455299,4514.76219660132
2024-08-25,731431410989701,16706216952653.6,262374575.368815,30778021.6343136,1394.41151312605
2024-09-01,1031982923803101,25298551629995.5,294434605.656674,39251725.048061,1332.5138429827
2024-09-08,985788461164708,19760632350525.9,693813691.200117,44945600.7676884,1572.06331156277
2024-09-15,913431917636958,28245568085102.7,569792682.246402,55278279.7671849,2847.98146805393
2024-09-22,1004367460398313,27451711713541.2,1366301070.95715,186542716.494888,17877.5481283751
2024-09-29,826132277740020,19694571915872.1,363027460.426847,42905850.6006044,5656.57809320295
2024-10-06,1058110991659097,23210394356264,307145356.643079,57827614.1621223,4864.12593404829
2024-10-13,987397010930472,22666768243214.6,328667932.306774,274395973.617271,8206.35520456082
2024-10-20,1312690429675683,33715419058153.7,360825674.978809,130203673.405474,3683.86555460625
2024-10-27,1259998559528168,24012549781218,268712050.155471,213836592.111735,3136.4508740059
2024-11-03,2227315039815608,91461148475575.9,692968281.793478,938570301.959938,14185.1853216521
2024-11-10,4014746402387412,83503814467063.2,25256543901.1303,2736923700.99044,31707.584123999
2024-11-17,4342743204201844,131892962540777,22723185506.9056,8975909094.71876,95227.9321427908
2024-11-24,3051091373444670,113657196696089,32150326249.9663,2363648278.45705,41450.2887758796
2024-12-01,4414364262243498,90359332119399.7,32339068815.9336,3689154645.75274,73241.7946630822
2024-12-08,4097796352235014,111240599202409,18748003753.96,1259896193.24981,20604.0190397356
2024-12-15,5032870472150554,105387447521438,33544145805.9724,2206630318.21392,23443.1713191008
2024-12-22,2294158362055233,48609196645165.4,6017756676.2969,456768562.319802,6773.36843490278
