"week","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network"
2011-09-25,11283,-202,0,-5697.50756519998,-0.0395775437189617
2011-10-02,10489,371,0,-8971.80791153997,-0.00822743974314547
2011-10-09,10543.5,214,0,8101.63104440452,-0.00265568319862192
2011-10-16,10297.5,-997,0,42651.3357752055,-0.0123956908256655
2011-10-23,9929,-39,0,119064.525052429,-0.00301584618809406
2011-10-30,11062,799.5,0,-161298.846797289,0.00114450686517284
2011-11-06,10982.5,-1141.5,0,322771.478672803,-0.000701053160794121
2011-11-13,8861,-9,0,1873585.76122449,0.0510896112336548
2011-11-20,9369,605.5,0,-1399813.4756066,-0.0653133871281509
2011-11-27,9455,965,0,2413715.61173876,0.0918704482066773
2011-12-04,9381.5,-706.5,0,-262363.875867109,-0.0257373730604359
2011-12-11,8849,-765,0,-2770363.02144311,-0.117593329125726
2011-12-18,9532,608.5,0,-197795.131429104,-0.00399009183147526
2011-12-25,8198,-120.5,0,-1182.78997536999,-0.0147437720172941
2012-01-01,10101.5,1333,0,108882.284004539,0.0282007789131207
2012-01-08,11111.5,163,0,20634.2739524295,0.00273227756686741
2012-01-15,10999,-821,0,-35551.0670209805,-0.0158364524081731
2012-01-22,10203,389.5,0,-109787.832457028,-0.0118748807678693
2012-01-29,11453.5,674.5,0,136042.089600578,0.0179815017970157
2012-02-05,12389,629,0,-38009.8005236015,0.00332214218428399
2012-02-12,11012,-31.5,0,627298.889185634,0.013927174233991
2012-02-19,11022,-273,0,-557890.647867733,-0.0281685943329116
2012-02-26,12051,270.5,0,89839.2348183515,0.0100789749341946
2012-03-04,11737.5,-2275,0,55307.7752725196,-0.0212483058947425
2012-03-11,12250,1097,0,-58868.779443449,0.00603791496598586
2012-03-18,10955,136,0,312924.51683964,-0.000986102397734406
2012-03-25,11196.5,225,0,-164103.872807097,-0.00956323001091934
2012-04-01,12591.6666666667,-748,0,635520.805553713,0.0217554682944005
2012-04-08,13106,1453.33333333333,0,-344392.626782411,-0.00511068946172342
2012-04-15,12460.6666666667,101.333333333334,0,279603.108614664,0.000178864656316879
2012-04-22,14953.3333333333,-439.666666666667,0,-229128.494167065,-0.00230054176423528
2012-04-29,18384,5803,0,868865.041878778,0.0574014912965517
2012-05-06,19032,2575,0,406261.633339873,0.0242292952127281
2012-05-13,23213,6251.66666666667,0,-1041362.11115092,0.0191916929531602
2012-05-20,23433.3333333333,7174.33333333333,0,717708.191898663,0.0570175297892196
2012-05-27,27139,-16199,0,2743654.09082191,0.00303820726082169
2012-06-03,25160,19659.6666666667,0,-188877.317191213,0.0884921713184225
2012-06-10,34657,21856,0,-604755.796566243,0.145834589562937
2012-06-17,24468,-30750.6666666667,0,-2062393.14532646,-0.289531457367498
2012-06-24,26599.3333333333,-947,0,114571.90129192,0.00185488654983411
2012-07-01,25832,-1030.66666666667,0,-307929.005802643,-0.0242883383504259
2012-07-08,25521,5074.33333333334,0,829389.452705733,0.0459873185088115
2012-07-15,29526,10132.3333333333,0,-796678.63350756,0.0472426181130104
2012-07-22,32824.3333333333,-1564,0,-251536.440888942,-0.00524761482485105
2012-07-29,28146,-2862,0,182691.562883248,-0.0394445464195184
2012-08-05,34116.3333333333,3884,0,-32823.6267039266,0.045088319475102
2012-08-12,43024.3333333333,4302,0,2975032.88290245,0.151976957211055
2012-08-19,34099,-7115,0,2206986.17847151,-0.0208956632685945
2012-08-26,36448,356,0,1392541.12790689,0.0498468045832652
2012-09-02,33540,5942.33333333334,0,-565919.22748843,-0.00386624561847515
2012-09-09,27205.6666666667,-3619.33333333334,0,5370446.0554082,0.102974369812077
2012-09-16,31836,-14104,0,-2240560.13101221,-0.107421362006665
2012-09-23,30815,4526.5,0,-8115936.60347292,-0.375981924747655
2012-09-30,37262,8542.5,0,-620445.08619459,0.0712345529949883
2012-10-07,35240,-6390,0,-844887.900313345,-0.123798401176523
2012-10-14,32674,2006,0,1699891.53140855,0.055855886465709
2012-10-21,26895.5,-5619.5,0,-1794765.83409816,-0.195307551770403
2012-10-28,26349.5,2831.5,0,874696.52719436,0.0434556797764196
2012-11-04,28298,-2754,0,-773814.227429464,-0.0533201938482377
2012-11-11,44133,7381,0,882608.90576785,0.178079817818877
2012-11-18,30677,5363,0,-881466.795924135,-0.111984274675334
2012-11-25,27648,-8360,0,-511522.010544753,-0.101810679283939
2012-12-02,30025,2604,0,1485652.44124964,0.112493226057005
2012-12-09,28803.3333333333,220,0,1045444.2508734,0.0274057388749043
2012-12-16,29497,7048.66666666666,0,-1494715.37992793,-0.00738746631802133
2012-12-23,33662.6666666667,-4775.33333333333,0,-670816.279528039,-0.0269728259411401
2012-12-30,33319.5,13950.6666666667,0,530172.655180774,0.147590451507351
2013-01-06,39276,-2918,0,-296859.769621425,0.000411087269216768
2013-01-13,43006,1829,0,427696.47056089,0.0639362409931872
2013-01-20,41077,1700.5,0,-310929.29599279,-0.0173510857764744
2013-01-27,39041,10181.5,0,696444.9219793,0.106718119400012
2013-02-03,42074,-1632,0,-512137.63378585,-0.0169857289082711
2013-02-10,38769,-3387.5,0,-243043.69449726,-0.0766725335625361
2013-02-17,41790,7167.5,0,-1751.75296552014,0.0632881937997444
2013-02-24,39343.5,3005,0,-48040.0403601585,-0.000422499157989744
2013-03-03,46027.5,-8989,0,97872.2100902835,-0.0225829178791923
2013-03-10,51708,-9527,0,4012904.16945055,0.15322356090769
2013-03-17,50305,6259.5,0,-3907972.59618366,-0.116587435264829
2013-03-24,53523.5,9980.5,0,701074.13211125,0.148979140700327
2013-03-31,90232.5,-10541,0,-228789.70937391,0.142538237248932
2013-04-07,81347,7958,0,-136628.7523674,-0.0126236424458481
2013-04-14,62602,-12763.5,0,-676384.62785886,-0.23711058092895
2013-04-21,93094,8351.5,0,274193.974719296,0.340450206197862
2013-04-28,75206,-4771,0,-489054.796991189,-0.169073795271643
2013-05-05,66176,9938.66666666666,0,-11291.0398257851,0.00428157988361315
2013-05-12,57260.6666666667,-3386,0,-123355.501086782,-0.0727432973734625
2013-05-19,65471.3333333333,-1644.66666666666,0,-243054.035954238,0.019230359199779
2013-05-26,62627,-1090,0,225003.121005764,-0.0168446645759323
2013-06-02,47541,-5810.33333333334,0,-78618.8189042107,-0.115847716996811
2013-06-09,44070,-4391,0,-236159.464484973,-0.0544228004692301
2013-06-16,53639.3333333333,2917.33333333334,0,5741.09127028595,0.0588934573768795
2013-06-23,55024,-10482,0,346469.122759973,-0.0397711405245368
2013-06-30,42492,-4464,0,335751.479379196,-0.0831673401289953
2013-07-07,44041,9126.33333333334,0,-226325.479988326,0.0463602320166871
2013-07-14,51502.6666666667,-4448.33333333334,0,-185524.237998937,0.00157053520570488
2013-07-21,53916.6666666667,884,0,77728.8755919905,0.0106214617141838
2013-07-28,49767,7495.66666666666,0,93353.789581017,0.0182560700095381
2013-08-04,50553.3333333333,10285.3333333333,0,-345521.608116681,0.0454359702619862
2013-08-11,66137.3333333333,15695,0,455384.068220965,0.173676008159229
2013-08-18,66259,-19302,0,-226132.42407865,-0.100256590437121
2013-08-25,77866,830.666666666664,0,124720.715896418,0.0610327633944334
2013-09-01,50583,7064.33333333334,0,-241457.273904953,-0.110104176293268
2013-09-08,61367.3333333333,-14878,0,-83336.3826757433,-0.0368425204463237
2013-09-15,66052,7664,0,399095.447853212,0.0595897653420523
2013-09-22,56523,-6861.33333333334,0,-122559.781523478,-0.095162115395085
2013-09-29,58920.6666666667,8913,0,-374022.806016333,0.045014200148145
2013-10-06,67717.6666666667,-2627.66666666666,0,325863.156216982,0.0336831018095258
2013-10-13,77273,3389,0,213978.862024799,0.0554755375366232
2013-10-20,60631,-7745.66666666666,0,1451866.67533964,-0.0887218078404252
2013-10-27,69755.6666666667,6396.33333333333,0,-1791214.73578666,0.0223827703077929
2013-11-03,102300.666666667,5261.33333333334,0,190479.738679438,0.192639730748867
2013-11-10,124969.666666667,-12048,0,961411.825361014,0.0571691126362966
2013-11-17,130687,19251.6666666667,0,1137180.76772659,0.164401508259139
2013-11-24,147851.666666667,24710.6666666667,0,-1092058.07566151,0.185622980895781
2013-12-01,150299,-19038.3333333333,0,-583648.380933627,-0.116758468496767
2013-12-08,125925,-17986,0,437619.946244272,-0.179946829512667
2013-12-15,107061,8321.66666666666,0,-777833.797734452,-0.0769166212379059
2013-12-22,100495.666666667,-9713,0,-308102.25324332,-0.101739211571416
2013-12-29,126631.333333333,8258.33333333334,0,188319.591264112,0.177149115038612
2014-01-05,109245,-5124,0,-250275.629288634,-0.108150632309106
2014-01-12,92393,-3315.33333333334,0,-60844.6828867353,-0.110265458872121
2014-01-19,117222.666666667,11301.3333333333,0,-27709.1407463994,0.181108046046874
2014-01-26,138342.333333333,-3573,0,26520.288454615,0.0812428209135798
2014-02-02,137975,4740,0,265968.420275177,0.021595065029515
2014-02-09,128245,-5946.33333333334,0,-103110.024958,-0.0904898376724329
2014-02-16,147997.666666667,12965.3333333333,0,-251633.415484838,0.15824426231162
2014-02-23,177413.666666667,-1738,0,199155.730653263,0.138210288411374
2014-03-02,156339,-5700,0,623546.467503052,-0.10448376636313
2014-03-09,120614,411,0,76789.097674629,-0.17999140502406
2014-03-16,131836.333333333,5994.66666666667,0,-880091.794589482,0.0578711516152561
2014-03-23,156580.666666667,-3916.66666666667,0,151520.322244656,0.101229846342854
2014-03-30,150599.333333333,-11284,0,2613.77717113378,-0.0828223024845984
2014-04-06,112455,34.6666666666642,0,171491.364684351,-0.191387154396004
2014-04-13,148083,7000.33333333334,0,-286454.940618961,0.20353976294567
2014-04-20,138849.333333333,9820,0,-30248.718098463,0.00203321273482303
2014-04-27,129819.333333333,-18493,0,142230.791043086,-0.125559304333322
2014-05-04,115894,4178,0,490764.886848307,-0.037363610795557
2014-05-11,146434.333333333,12958.3333333333,0,-576214.601611178,0.202584868978539
2014-05-18,139662.333333333,1516.66666666667,0,315544.7321556,-0.0215708573896303
2014-05-25,138915.333333333,-20638,0,52589.6733579864,-0.103152209473136
2014-06-01,120890,1731.33333333334,0,43325.4304470287,-0.084912736677569
2014-06-08,152801.333333333,12013.3333333333,0,-437452.447555678,0.208335330776371
2014-06-15,134013.666666667,-8535.66666666667,0,74624.0079666874,-0.145012799026988
2014-06-22,148678,-2989,0,82579.6547799843,0.0439278812981254
2014-06-29,110447,2610,0,-234921.002599587,-0.189608451317948
2014-07-06,165056.333333333,6988.33333333334,0,86451.1600957374,0.30975516092734
2014-07-13,143691.333333333,71.6666666666642,0,-79264.8085760723,-0.114562934669655
2014-07-20,149087.666666667,-7729,0,115521.22081231,-0.0159774993328501
2014-07-27,121519,1465.33333333334,0,11282.8823084924,-0.135188470803635
2014-08-03,174310.666666667,14002,0,-153529.028282211,0.33256082153658
2014-08-10,166108.333333333,1392.66666666667,0,207590.247998394,-0.0326556942021687
2014-08-17,158943.666666667,-15600,0,320313.107649575,-0.0999007856167188
2014-08-24,141380,5770.66666666666,0,-303998.035901916,-0.07046246088311
2014-08-31,190546,9098.33333333334,0,-270949.144642918,0.283554020871272
2014-09-07,153189.666666667,-4078,0,88261.3313748923,-0.21284118922762
2014-09-14,149940,-4902,0,189791.765781484,-0.0371163655907339
2014-09-21,141428,3246,0,4000.81139529229,-0.0299605793108183
2014-09-28,208118,7327.66666666667,0,55183.0161938327,0.371267191662955
2014-10-05,166926.666666667,7002.33333333333,0,-36157.2620704947,-0.174034296306556
2014-10-12,162235,-14581,0,288029.93405562,-0.085642200559431
2014-10-19,178098,8897.5,0,-194342.081136713,0.199984392765495
2014-10-26,175024.5,16112,0,-15269.0582877051,0.0869021708590662
2014-11-02,163758,-6620.5,0,51650.7237348161,-0.158542626006897
2014-11-09,150621,-11624,0,499992.734497061,-0.150117353140438
2014-11-16,198119.5,8035,0,71782.8223802075,0.469511698197592
2014-11-23,181523.5,9875.5,0,-340379.063136577,-0.0534046371892429
2014-11-30,194196,-252.5,0,41768.0582210195,0.100101388513061
2014-12-07,155092,-14693,0,-173647.769501176,-0.35934532260983
2014-12-14,207827,12496.5,0,41145.0331978099,0.553170377017274
2014-12-21,151836,-13021,0,-227749.053462743,-0.455527069756167
2014-12-28,179406,3604.5,0,382882.036627196,0.277360966898297
2015-01-04,242729,25587,0,195667.865263301,0.576796947778974
2015-01-11,216030,-10898.5,0,715849.62755377,-0.294139879025421
2015-01-18,201165.5,6964,0,-756792.34748255,-0.0783822847372824
2015-01-25,161500,-19740.5,0,-354154.801412239,-0.537848522868888
2015-02-01,159160,4500,0,216544.592585106,0.0192664785725867
2015-02-08,246397,5458.5,0,-21753.3941221569,0.772911479354419
2015-02-15,197007,6876,0,-422266.127762931,-0.282832339984147
2015-02-22,198801,3440.5,0,434447.227477425,0.0630654523942333
2015-03-01,213542,-9969,0,59070.9715552905,0.0196247492561421
2015-03-08,211235,1344.5,0,-169924.006286602,-0.0207462533664684
2015-03-15,204498.5,13308.5,0,-291202.013264993,0.0341211394689954
2015-03-22,196455,-6667,0,168455.526674103,-0.126234506741086
2015-03-29,215923,-9840,0,-51170.488381085,0.0460255727472182
2015-04-05,216493.5,9224,0,252412.793133562,0.0974977739157641
2015-04-12,199383,9021,0,-239840.086941497,-0.0588271053666953
2015-04-19,204006,880,0,430494.211584252,0.0627218970912987
2015-04-26,233284,-13674,0,16955.8259352199,0.0833287726086749
2015-05-03,222183.5,5469,0,-131491.676797575,-0.0539894843850214
2015-05-10,203683.5,-490,0,-327745.321414144,-0.137065980436418
2015-05-17,208304,2689,0,145223.054096622,0.0653022410511209
2015-05-24,266265,25031,0,350298.861208302,0.545100251498885
2015-05-31,233309,-22187.5,0,185582.24376894,-0.477655750004179
2015-06-07,253187,19393,0,-388901.07738822,0.239614756285752
2015-06-14,253777,215.5,0,380304.168585435,0.0203592514595066
2015-06-21,254786,-19218,0,-294683.997513183,-0.144048346009057
2015-06-28,261668.5,23594,0,112196.163071858,0.276713289437406
2015-07-05,254900.5,45831,0,25274.8631969399,0.272281343030409
2015-07-12,205768,-58523,0,-271885.203978393,-0.973040216788043
2015-07-19,195286,-16362,0,75308.1819727824,-0.182340311699459
2015-07-26,262467.5,22856,0,-49021.9813065699,0.765586870014268
2015-08-02,240407,2439.5,0,224110.83355649,-0.118366388310737
2015-08-09,227327,-14584.5,0,-25479.3816656901,-0.251499018292902
2015-08-16,258265,-5590,0,594238.82415688,0.171592431144466
2015-08-23,241516.5,4930.5,0,-131978.73666543,-0.106199913246958
